378,total,1991,600870,District of Columbia
379,under18,1991,116825,District of Columbia
380,under18,1992,118636,District of Columbia
381,total,1992,597567,District of Columbia
382,under18,1990,112632,District of Columbia
383,total,1990,605321,District of Columbia
384,under18,1990,165628,Delaware
385,total,1990,669567,Delaware
386,under18,1992,174166,Delaware
387,total,1992,694927,Delaware
388,total,1991,683080,Delaware
389,under18,1991,169910,Delaware
390,total,1994,717545,Delaware
391,under18,1994,180833,Delaware
392,total,1993,706378,Delaware
393,under18,1993,176916,Delaware
394,under18,1995,181736,Delaware
395,total,1995,729735,Delaware
396,total,1996,740978,Delaware
397,under18,1996,184021,Delaware
398,under18,1997,186607,Delaware
399,total,1997,751487,Delaware
400,total,1998,763335,Delaware
401,under18,1998,189302,Delaware
402,total,2000,786373,Delaware
403,under18,2000,194914,Delaware
404,total,1999,774990,Delaware
405,under18,1999,192510,Delaware
406,total,2002,806169,Delaware
407,under18,2002,196946,Delaware
408,total,2001,795699,Delaware
409,under18,2001,196038,Delaware
410,total,2004,830803,Delaware
411,under18,2004,199631,Delaware
412,total,2003,818003,Delaware
413,under18,2003,198045,Delaware
414,total,2006,859268,Delaware
415,under18,2006,203729,Delaware
416,total,2005,845150,Delaware
417,under18,2005,201988,Delaware
418,total,2008,883874,Delaware
419,under18,2008,206116,Delaware
420,total,2007,871749,Delaware
421,under18,2007,205155,Delaware
422,under18,2013,203558,Delaware
423,total,2013,925749,Delaware
424,total,2009,891730,Delaware
425,under18,2009,206213,Delaware
426,under18,2010,205478,Delaware
427,total,2010,899711,Delaware
428,under18,2011,204801,Delaware
429,total,2011,907985,Delaware
430,under18,2012,204586,Delaware
431,total,2012,917053,Delaware
432,total,1990,13033307,Florida
433,under18,1990,2988807,Florida
434,under18,1991,3045638,Florida
435,total,1991,13369798,Florida
436,total,1994,14239444,Florida
437,under18,1994,3299887,Florida
438,under18,1993,3214066,Florida
439,total,1993,13927185,Florida
440,total,1992,13650553,Florida
441,under18,1992,3120439,Florida
442,under18,1995,3366468,Florida
443,total,1995,14537875,Florida
444,total,1996,14853360,Florida
445,under18,1996,3431695,Florida
446,under18,1998,3557561,Florida
447,under18,1997,3502269,Florida
448,total,1997,15186304,Florida
449,total,1998,15486559,Florida
